id;ean;created_at;product_id;code;variant_name_suffix;units_per_box;description_variant;image_url_variant;attributes
148;;2025-07-3 15:40:29.583996+00;91;00CML001;Cap. máxima 113 kg;1;;;
149;6,98E+12;2025-07-3 15:40:29.583996+00;92;00CBH002;2TN;1;;;
150;6,97E+12;2025-07-3 15:40:29.583996+00;92;00CBH003;3TN;1;;;
151;6,97E+12;2025-07-3 15:40:29.583996+00;92;00CBH005;5TN;1;;;
152;6,97E+12;2025-07-3 15:40:29.583996+00;92;00CBH010;10TN;1;;;
153;6,97E+12;2025-07-3 15:40:29.583996+00;92;00CBH015;15TN;1;;;
154;6,97E+12;2025-07-3 15:40:29.583996+00;92;00CBH020;20TN;1;;;
155;6,97E+12;2025-07-3 15:40:29.583996+00;92;00CBH032;32TN;1;;;
156;;2025-07-3 15:40:29.583996+00;93;00CPP013;"13"" Pulgadas";1;;;
157;;2025-07-3 15:40:29.583996+00;93;00CPP016;"16"" Pulgadas";1;;;
158;;2025-07-3 15:40:29.583996+00;93;00CPP019;"19"" Pulgadas";1;;;
159;;2025-07-3 15:40:29.583996+00;93;00CPP022;"22"" Pulgadas";1;;;
160;;2025-07-3 15:40:29.583996+00;94;00CMF020;500mm;6;;;
161;;2025-07-3 15:40:29.583996+00;94;00CMF021;525mm;6;;;
162;;2025-07-3 15:40:29.583996+00;95;00BPH016;45x29x45cm;6;;;
163;;2025-07-3 15:40:29.583996+00;96;00BPH017;50x23x33cm;6;;;
164;6,98E+12;2025-07-3 15:40:29.583996+00;97;00MRP001;37x18,5x47cm;6;;;
165;6,98E+12;2025-07-3 15:40:29.583996+00;98;00SCR005;Set de 5 cepillos;6;;;
166;6,98E+12;2025-07-3 15:40:29.583996+00;99;00CRT050;50mm;6;;;
167;6,98E+12;2025-07-3 15:40:29.583996+00;99;00CRT075;75mm;6;;;
168;6,98E+12;2025-07-3 15:40:29.583996+00;100;00CPT075;75mm;6;;;
169;6,98E+12;2025-07-3 15:40:29.583996+00;100;00CPT100;100mm;6;;;
170;6,9761E+12;2025-07-14 15:40:29.583996+00;101;00CRA075;75mm;6;;;
171;6,9761E+12;2025-07-14 15:40:29.583996+00;101;00CRA100;100mm;6;;;
172;6,9761E+12;2025-07-14 15:40:29.583996+00;102;00CTA075;75mm;6;;;
173;6,9761E+12;2025-07-14 15:40:29.583996+00;102;00CTA100;100mm;6;;;
174;6,9761E+12;2025-07-14 15:40:29.583996+00;103;00CAM001;Cepillo mango pvc;6;;;
175;6,9761E+12;2025-07-14 15:40:29.583996+00;104;00SMM005;3 mm, 4 mm, 5 mm, 6 mm y 8 mm;6;;;
176;6,97545E+12;2025-07-14 15:40:29.583996+00;105;00MET020;Mecha escalonada 4-20mm;6;;;
177;6,9761E+12;2025-07-14 15:40:29.583996+00;106;00SMM006;"6 Mechas M2 p/
metal";6;;;
178;6,94232E+12;2025-07-14 15:40:29.583996+00;107;00SMM025;"25 mechas HSS p/
metal ";6;;;
179;6,94232E+12;2025-07-14 15:40:29.583996+00;108;00SME003;Set de mechas escalonadas de 3 piezas;1;;;
180;6,97545E+12;2025-07-14 15:40:29.583996+00;109;00MET020;Mecha Escalonada 4-20mm;6;;;
181;6,97021E+12;2025-07-14 15:40:29.583996+00;110;00SMV016;16 mechas varias;6;;;
182;6,9761E+12;2025-07-14 15:40:29.583996+00;111;00SMV005;Mechas p/vidrio;6;;;
183;6,94232E+12;2025-07-14 15:40:29.583996+00;112;00SMW005;Set de 5 mechas de widia;6;;;
184;6,94232E+12;2025-07-14 15:40:29.583996+00;113;00MW6;ø6 x 100;10;;;
185;6,94232E+12;2025-07-14 15:40:29.583996+00;113;00MW8;ø8 x 120;10;;;
186;6,94232E+12;2025-07-14 15:40:29.583996+00;113;00MW10;ø10 x 120;10;;;
187;6,9761E+12;2025-07-14 15:40:29.583996+00;114;00SWS005;Set mechas sds plus;6;;;
188;6,97021E+12;2025-07-14 15:40:29.583996+00;115;00SMP010;Set SDS Plus;6;;;
189;;2025-07-14 15:40:29.583996+00;116;00SCA013;Set de 10 copas;1;;;
190;6,9761E+12;2025-07-14 15:40:29.583996+00;117;00RPO4.5X1;115 x 1 x 22.2mm;25;;;
191;;2025-07-14 15:40:29.583996+00;117;00RPO7X1;180 x 1.6 x 22.2mm;25;;;
192;;2025-07-14 15:40:29.583996+00;118;00DF115X040;115mm - GR40;5;;;
193;;2025-07-14 15:40:29.583996+00;118;00DF115X060;115mm - GR60;5;;;
194;;2025-07-14 15:40:29.583996+00;118;00DF115X080;115mm - GR80;5;;;
195;;2025-07-14 15:40:29.583996+00;118;00DF115X120;115mm - GR120;5;;;
196;6,97021E+12;2025-07-14 15:40:29.583996+00;119;00DMA125;125mm;6;;;
197;;2025-07-14 15:40:29.583996+00;120;00EPA4X4;Escalera 4 x 4 plegable;1;;;
198;6,94232E+12;2025-07-14 15:40:29.583996+00;121;00PPT014;"Porta puntas de 1/4""";12;;;
199;6,94232E+12;2025-07-14 15:40:29.583996+00;122;00SPP014;"Set de porta puntas de 1/4""";6;;;
200;6,94232E+12;2025-07-14 15:40:29.583996+00;123;00SPA009;Porta puntas de 1/4 + puntas PL y PH ;6;;;
201;6,94232E+12;2025-07-14 15:40:29.583996+00;124;00SAM001;"Set de tubos y puntas de 1/4""";6;;;
202;6,9761E+12;2025-07-14 15:40:29.583996+00;125;00SPP050;"10 puntas PH2 X
50mm";1;;;
203;6,9761E+12;2025-07-14 15:40:29.583996+00;126;00SPL050;10 puntas PL6 X 50mm;1;;;
204;6,9761E+12;2025-07-14 15:40:29.583996+00;127;00SPD065;10 puntas PH2 y PL6 X 65mm;6;;;
205;6,94232E+12;2025-07-14 15:40:29.583996+00;128;00SPI030;"Set de 30 puntas de
impacto.";6;;;
206;6,9761E+12;2025-07-14 15:40:29.583996+00;129;00SPT025;Set de 25 piezas crv;12;;;
207;6,9761E+12;2025-07-14 15:40:29.583996+00;130;00STC012;Set de puntas de 1/4;6;;;
208;6,9761E+12;2025-07-14 15:40:29.583996+00;131;00STP027;"Set de tubos y puntas de 1/4""";6;;;
209;6,9761E+12;2025-07-14 15:40:29.583996+00;132;00STP064;"Set de tubos y puntas de 1/4""";6;;;
210;6,9761E+12;2025-07-14 15:40:29.583996+00;133;00STP056;Set de 56 piezas crv;12;;;
211;6,94232E+12;2025-07-14 15:40:29.583996+00;134;00STC012;Set de tubos de 1/2;6;;;
212;6,9761E+12;2025-07-14 15:40:29.583996+00;135;00STV040;"Set de tubos de 1/4"" y 3/8""";1;;;
213;6,9761E+12;2025-07-14 15:40:29.583996+00;136;00STV024;"Set de tubos de 1/2"" 24 pzs";1;;;
214;6,9761E+12;2025-07-14 15:40:29.583996+00;137;00SDR013;12 dest PL y PH;12;;;
215;6,97545E+12;2025-07-14 15:40:29.583996+00;138;00SHC001;Set reparación de celulares;6;;;
216;6,97545E+12;2025-07-14 15:40:29.583996+00;139;00SHB001;Set para bicicletas;6;;;
217;6,97545E+12;2025-07-14 15:40:29.583996+00;140;00EPH001;Estuche portaherramientas;6;;;
218;;2025-07-14 15:40:29.583996+00;141;00PHC001;Tipo Cinturón;6;;;
219;6,94232E+12;2025-07-14 15:40:29.583996+00;142;00SSM001;Métrico y pulgada;6;;;
220;6,9761E+12;2025-07-14 15:40:29.583996+00;143;00TPT001;Kit 14 en 1 p/ vehiculos ;6;;;
