id;created_at;name;description;category
67;2025-07-3 15:40:29.583996+00;Llave Combinada Crique c/Cabezal Reemplazable;Construcción de acero al cromo vanadio endurecido, que garantiza resistencia y durabilidad. El mecanismo de crique de 72 dientes ofrece una facilidad de 5 grados de ángulo de giro hacia atrás para girar los sujetadores, frente a los 30 grados de las llaves combinadas estándar. Zócalos intercambiables: 8, 10, 12, 13, 14, 17 y 19 mm.;Herramientas Manuales
68;2025-07-3 15:40:29.583996+00;Set De Llaves Combinadas Criques 8pz;"Construcción de acero al cromo vanadio endurecido, que garantiza resistencia y
durabilidad.
El mecanismo de crique de 72 dientes permite un giro hacia atrás de 360° para girar
los sujetadores con facilidad.
Mecanismo de trinquete mecanizado con precisión para un rendimiento superior.
Cabezal articulado para mayor versatilidad.";Herramientas Manuales
69;2025-07-3 15:40:29.583996+00;Nivel De Aluminio Profesional;"Las tres burbujas de 90°, 180° y 45° cubren casi todas las necesidades del
usuario
Los orificios en ambos extremos facilitan el colgado y el trabajo en espacios
reducidos.
El marco de aluminio ofrece un peso ligero, alta estabilidad y una sujeción segura
durante el uso.";Herramientas Manuales
70;2025-07-3 15:40:29.583996+00;Nivel Magnético Plegable Aluminio Profesional;"Tres burbujas de precisión de 0,5 mm/m.
El marco de aluminio proporciona un peso ligero, alta estabilidad y una sujeción segura
durante el trabajo.
Burbujas de alta visibilidad, con diseño horizontal, vertical y plegable para una
operación fácil y rápida.
Fresado en un lado para una operación más precisa.";Herramientas Manuales
71;2025-07-3 15:40:29.583996+00;Medidor De Distancia Laser 100 Mts;"Función de visualización de varias líneas.
La pantalla a color retroiluminada facilita la lectura de los números en áreas oscuras, con
una resolución clara que permite trabajar en condiciones de poca o ninguna luz.
Apagado automático a los 3 minutos para conservar la energía.
El nivel de impermeabilidad IP54 y la función a prueba de polvo protegen el medidor de
distancia láser, permitiendo su uso en condiciones de trabajo difíciles, como lluvia o
polvo.
Baterías no incluidas.";Herramientas Manuales
72;2025-07-3 15:40:29.583996+00;Cutter de 9mm;"Canal de hoja de acero inoxidable para un rendimiento de corte óptimo.
Mango ergonómico de ABS que garantiza un agarre seguro y cómodo.
Hoja SK5 de alta calidad para cortes precisos.
Las secciones de la hoja se rompen fácilmente, proporcionando un punto de corte
nuevo y afilado.";Herramientas Manuales
73;2025-07-3 15:40:29.583996+00;Llave Ajustable;"Esta llave ajustable cuenta con una tuerca de alta precisión que permite un ajuste y
cierre suaves y sin problemas.
La tecnología de precisión asegura un ajuste fácil y un control exacto durante su uso.
El mango recubierto de TPR proporciona un agarre cómodo y seguro, reduciendo la
fatiga durante el trabajo.";Herramientas Manuales
74;2025-07-3 15:40:29.583996+00;Llave De Caño Tipo Stilson;"Mordazas de acero forjado, fresadas con precisión.
Acabado resistente a la corrosión para mayor durabilidad.";Herramientas Manuales
75;2025-07-3 15:40:29.583996+00;Llave De Caño Sueca;"Fabricado en acero al cromo vanadio endurecido, garantizando máxima
resistencia y durabilidad.
Dientes endurecidos por inducción para un agarre superior y resistencia
durante el uso.";Herramientas Manuales
76;2025-07-3 15:40:29.583996+00;Tijera Corta Pernos;"Las mordazas endurecidas de CR-MO garantizan cortes limpios y constantes.
El mecanismo de doble palanca proporciona una transmisión de alta potencia con
poco esfuerzo manual, ofreciendo suavidad y potencia al mismo tiemp?.
La hoja del cortapernos tiene una dureza de 58-62 HRC, lo que facilita un corte
eficiente.";Herramientas Manuales
77;2025-07-3 15:40:29.583996+00;Cutter Ergónomico 18mm 00CUE018;"La hoja de 1.5 es ideal para cortes más gruesos y es adecuada para aplicaciones
profesionales e industriales.
Perfecta para cortar papel grueso, alfombras, plásticos, cartón, tela, bolsas, cuero,
PVC, paneles de yeso, entre otros.
Fabricada con materiales de alta calidad, afilada y duradera.";Herramientas Manuales
78;2025-07-3 15:40:29.583996+00;Cutter Ergónomico 18mm 00CUM018;"Cortador de alta resistencia con hoja SK5, ideal para cortes más gruesos y adecuado
para aplicaciones profesionales e industriales.
Perfecto para cortar papel grueso, alfombras, plásticos, cartón, telas, bolsas, cuero,
PVC, paneles de yeso, entre otros.
Cuenta con un mecanismo de cambio automático de hoja y función de bloqueo de la
hoja para aumentar la resistencia y evitar daños.";Herramientas Manuales
79;2025-07-3 15:40:29.583996+00;Cutter Profesional 18mm ;La hoja de 1.5 es ideal para cortes más gruesos y está diseñada para aplicaciones profesionales e industriales. Perfecta para cortar papel grueso, alfombras, plásticos, cartón, tela, bolsas, cuero, PVC, paneles de yeso, entre otros. Fabricada con materiales de alta calidad, afilada y duradera. La hoja se reemplaza rápida y fácilmente con solo presionar un botón. Cuenta con una función de bloqueo de la hoja para aumentar la resistencia y prevenir daños.;Herramientas Manuales
80;2025-07-3 15:40:29.583996+00;Cutter Trincheta Trapezoidal Tipo Navaja;Cutter trincheta trapezoidal tipo navaja / Trapezklingenmesser Canal de hoja de zinc para un corte más eficiente. Mango ergonómico de TPR que proporciona un agarre seguro y cómodo. Diseño plegable para un almacenamiento más compacto. Hoja SK5 de alta calidad. Cuchilla Snapper integrada. Ideal para cortar papel, cartón y paneles de yeso.;Herramientas Manuales
81;2025-07-3 15:40:29.583996+00;Cutter Trincheta Trapezoidal Tipo Navaja Profesional;"Construcción robusta y duradera, con carcasa plegable de acero inoxidable y
mango de aluminio ligero, que ofrece un agarre cómodo y antideslizante.
El mecanismo de bloqueo asegura que la hoja permanezca firmemente en su
lugar durante el uso.
Compatible con la mayoría de las hojas de tamaño estándar, con un mecanismo
de liberación rápida para un reemplazo fácil y rápido de la hoja.";Herramientas Manuales
82;2025-07-3 15:40:29.583996+00;Cutter Trincheta Trapezoidal Retractil;"Fácil de usar con un interruptor de apertura y cierre de un solo botón.
Cuerpo de metal que ofrece un equilibrio óptimo y durabilidad, mientras que el extremo
reforzado protege contra golpes y caídas.
El revestimiento especialmente desarrollado mantiene las hojas Carbon Max afiladas
hasta 24 veces más que las convencionales.
Diseño ergonómico y robusto, con carcasa de aluminio para mayor comodidad y
resistencia.";Herramientas Manuales
83;2025-07-3 15:40:29.583996+00;Cutter Trincheta Trapezoidal Metálico ;"Fácil de usar con un interruptor de apertura y cierre de un solo botón.
Cuerpo de metal que garantiza un equilibrio óptimo y durabilidad, mientras que el
extremo reforzado proporciona protección contra golpes y caídas.
El revestimiento especialmente desarrollado mantiene las hojas CarbonMax afiladas
hasta 24 veces más, y el bloqueo de seguridad mantiene la hoja en posición cuando no
se está utilizando, protegiendo contra lesiones.
Este cuchillo universal está fabricado con aluminio anodizado de alta calidad y acero
inoxidable. La hoja, también de acero inoxidable, es resistente al desgaste y la corrosión.";Herramientas Manuales
84;2025-07-3 15:40:29.583996+00;Trincheta Trapezoidal Tipo Navaja Industrial;"Construcción robusta y duradera, con carcasa plegable de acero inoxidable y
mango de aluminio ligero, que ofrece un agarre cómodo y antideslizante.
El mecanismo de bloqueo mantiene la hoja firmemente en su lugar durante su uso.
Su diseño ergonómico, combinado con una estructura acanalada, garantiza un
agarre seguro incluso durante trabajos en condiciones de sudor.
Fácil de usar con un interruptor de apertura y cierre de un solo botón.
Cuerpo de metal que proporciona un equilibrio óptimo y durabilidad, mientras que el
extremo reforzado ofrece protección contra golpes y caídas.";Herramientas Manuales
85;2025-07-3 15:40:29.583996+00;Cutter Scraper Plástico p/Hojas de 18mm ;"El raspador cuenta con una cuchilla afilada de acero inoxidable, diseñada para
cortes eficientes.
Su mango liviano de plástico ABS garantiza un uso cómodo y ergonómico.
Esta herramienta versátil es ideal para limpiar, raspar y eliminar óxido o pintura de
diversas superficies, como ventanas, mesadas de cocina y estufas.";Herramientas Manuales
86;2025-07-3 15:40:29.583996+00;Cutter Scraper Inoxidable 200mm ;"El raspador de 200 mm cuenta con una hoja afilada de acero inoxidable y un mango de
ABS y PVC.
Este producto es ideal para una amplia gama de aplicaciones de raspado, limpieza y
eliminación de pintura en diversas superficies.
Su diseño práctico mejora el rendimiento y facilita su uso.";Herramientas Manuales
87;2025-07-3 15:40:29.583996+00;Repuestos Hojas De Cutter 9mm De 10pz;"Hoja de alta calidad SK5, fabricada en acero al carbono de alta resistencia, lo que
garantiza durabilidad y resistencia.
Excelente retención del filo, que previene la corrosión y el óxido.";Herramientas Manuales
88;2025-07-3 15:40:29.583996+00;Repuestos Hojas De Cutter 18mm De 10pz;"Hoja de alta calidad SK2, fabricada en acero al carbono de alta resistencia, lo que
garantiza durabilidad y resistencia.
Excelente retención del filo, que previene la corrosión y el óxido.";Herramientas Manuales
